"property_id","photo_urls"
"1021634184","[""http://ap.rdcpix.com/ffb29c0304de716dd5f045f7b4642c21l-m3202257573s.jpg""]"
"1021895901","[""http://ap.rdcpix.com/8768a9ecf4d00b136b1951f597d63daal-m2374275647s.jpg""]"
"1022521626","[""http://ap.rdcpix.com/7c2f550326641c178c9d0c82c7283e7al-m142334424s.jpg""]"
"1022965943","[""http://ap.rdcpix.com/0218d1556ad823df7ea75d37a63c39d8l-m2761714744s.jpg""]"
"1023017731","[""http://ap.rdcpix.com/a2f48b43eee568a5c4cca97a8dd43c24l-m1806299226s.jpg""]"
"1023050106","[""http://ap.rdcpix.com/f4ba8b0993f734338068fc8d4b0a11c4l-m3688765006s.jpg""]"
"1023153464","[""http://ar.rdcpix.com/b19a1c77a8d52f6d4a1f201577d864b2c-f1563821876s.jpg""]"
"1023213445","[""http://ap.rdcpix.com/1bd191b78fdf60795bb2ce7c933e7c29l-m690951012s.jpg""]"
"1023428880","[""http://ap.rdcpix.com/69c86ca0662d1e5f61dc997a3bd2bbcdl-m3913796881s.jpg""]"
"1023583261","[""http://ar.rdcpix.com/1881266147e2fb52148587f3fe0307ebc-f1841167653s.jpg""]"
"1024657432","[""http://ap.rdcpix.com/d4a2360ca2479abcd033535858002326l-m1929885993s.jpg""]"
"1024962101","[""http://ar.rdcpix.com/a2736e58efcb30e856ff97c7208e4778c-f1982736967s.jpg""]"
"1025008938","[""http://ap.rdcpix.com/5528ac5db74058cf0c728b9830dd9db8l-m3591387281s.jpg""]"
"1025567529","[""http://ar.rdcpix.com/423edd87f9bf6286d3a43c2c7b6ce466c-f1082825610s.jpg""]"
"1025614639","[""http://ap.rdcpix.com/721dc71e9f0a3ab83af66aa4335ed0e2l-m820708375s.jpg""]"
"1025676576","[""http://ap.rdcpix.com/36328918700ff98b66af092c0d80b3bcl-m477615982s.jpg""]"
"1025919767","[""http://ap.rdcpix.com/77e4a131b7230c049c5d2468ae6733b4l-m4076079997s.jpg""]"
